;;Aktualisieren der MobaLedLib;Update the MobaLedLib;Werk de MobaLedLib bij;Mettre à jour le MobaLedLib;Aggiorna MobaLedLib;Actualice el MobaLedLib;Opdater MobaLedLib
;;Aktualisiert die MobaLedLib auf den offiziellen freigegebenen Stand welcher in der Arduino IDE verfügbar ist.;Updates the MobaLedLib to the official released status which is available in the Arduino IDE.;Werkt de MobaLedLib bij naar de officiële vrijgegeven status die beschikbaar is in de Arduino IDE.;Met à jour le MobaLedLib à l'état officiel publié qui est disponible dans l'IDE Arduino.;Aggiorna MobaLedLib allo stato rilasciato ufficialmente disponibile nell'IDE di Arduino.;Actualiza MobaLedLib al estado oficial de lanzamiento que está disponible en el IDE de Arduino.;Opdaterer MobaLedLib til den officielle frigivne status, der er tilgængelig på Arduino IDE.
;;Soll die Beta Test Version der MobaLedLib installiert werden?;Should the beta test version of MobaLedLib be installed?;Moet de bètatestversie van MobaLedLib worden geïnstalleerd?;La version bêta-test de MobaLedLib doit-elle être installée?;Dovrebbe essere installata la versione beta test di MobaLedLib?;¿Debería instalarse la versión beta de prueba de MobaLedLib?;Bør beta-testversionen af ??MobaLedLib installeres?
;;Beta Test der MobaLedLib installieren?;Install beta test of MobaLedLib?;Bètatest van MobaLedLib installeren?;Installer le test bêta de MobaLedLib?;Installa il beta test di MobaLedLib?;Instalar la prueba beta de MobaLedLib?;Installer betatest af MobaLedLib?
;;"Fehler beim Aktualisieren der Bibliotheken und Boards aufgetreten. |
Leider treten beim herunter laden vom Arduino Server manchmal Übertragungsfehler auf. |
Oft hilft es wenn man den Prozess noch mal startet.|
|
Nicht installiert:";An error occurred while updating the libraries and boards. Unfortunately transmission errors sometimes occur when downloading from the Arduino server. | It often helps if you start the process again. || Not installed:;Er is een fout opgetreden bij het bijwerken van de bibliotheken en boards. Helaas treden er soms transmissiefouten op bij het downloaden van de Arduino-server. | Het helpt vaak als je het proces opnieuw start. || Niet geïnstalleerd:;Une erreur s'est produite lors de la mise à jour des bibliothèques et des cartes. Malheureusement, des erreurs de transmission se produisent parfois lors du téléchargement à partir du serveur Arduino. | Il est souvent utile de recommencer le processus. || Pas installé:;Si è verificato un errore durante l'aggiornamento delle librerie e delle schede. Purtroppo a volte si verificano errori di trasmissione durante il download dal server Arduino. | Spesso aiuta se si riavvia il processo. || Non installato:;Se produjo un error al actualizar las bibliotecas y tableros. Lamentablemente, a veces se producen errores de transmisión al descargar desde el servidor Arduino. El | A menudo ayuda si comienza el proceso nuevamente. || No instalado:;Der opstod en fejl under opdatering af biblioteker og tavler. Desværre forekommer transmissionsfejl undertiden ved download fra Arduino-serveren. | Det hjælper ofte, hvis du starter processen igen. || Ikke installeret:
;;Soll die Aktualisierung noch mal aufgerufen werden?;Should the update be called again?;Moet de update opnieuw worden aangeroepen?;La mise à jour doit-elle être rappelée?;L'aggiornamento dovrebbe essere richiamato di nuovo?;¿Se debe volver a llamar a la actualización?;Skal opdateringen kaldes igen?
;;Es sind Fehler beim Aktualisieren aufgetreten;There were errors updating;Er zijn fouten bij het updaten;Des erreurs se sont produites lors de la mise à jour;Si sono verificati errori durante l'aggiornamento;Hubo errores al actualizar;Der opstod fejl ved opdatering
;;"Die Programme 'curl' und 'tar' sind erst ab Win10 verfügbar. Darum kann '#1#' nicht automatisch installiert werden ;-(|
Es kann manuell von hier installiert werden:";"The programs 'curl' and 'tar' are only available from Win10. Therefore '#1#' cannot be installed automatically ;-( | It can be installed manually from here:";"De programma's 'curl' en 'tar' zijn alleen beschikbaar vanaf Win10. Daarom kan '#1#' niet automatisch worden geïnstalleerd ;-( | Het kan vanaf hier handmatig worden geïnstalleerd:";"Les programmes «curl» et «tar» ne sont disponibles qu'à partir de Win10. Par conséquent, '#1#' ne peut pas être installé automatiquement ;-( | Il peut être installé manuellement à partir d'ici:";"I programmi 'curl' e 'tar' sono disponibili solo da Win10. Pertanto '#1#' non può essere installato automaticamente ;-( | Può essere installato manualmente da qui:";"Los programas 'curl' y 'tar' solo están disponibles en Win10. Por lo tanto, '#1#' no se puede instalar automáticamente ;-( | Se puede instalar manualmente desde aquí:";"Programmerne 'curl' og 'tar' er kun tilgængelige fra Win10. Derfor kan '#1#' ikke installeres automatisk ;-( | Det kan installeres manuelt herfra:"
;;Windows Version ist zu alt. Keine automatische Installation möglich;Windows version is too old. No automatic installation possible;Windows-versie is te oud. Geen automatische installatie mogelijk;La version Windows est trop ancienne. Aucune installation automatique possible;La versione di Windows è troppo vecchia. Nessuna installazione automatica possibile;La versión de Windows es demasiado antigua. No es posible la instalación automática.;Windows-versionen er for gammel. Ingen automatisk installation mulig
;;Soll das Farbtest Programm neu heruntergeladen werden?;Should the color test program be downloaded again?;Moet het kleurentestprogramma opnieuw worden gedownload?;Le programme de test des couleurs doit-il être à nouveau téléchargé?;Il programma di prova del colore deve essere scaricato di nuovo?;¿Debería descargarse nuevamente el programa de prueba de color?;Bør farvetestprogrammet downloades igen?
;;Neue Version des Farbtests herunterladen?;Download new version of the color test?;Nieuwe versie van de kleurentest downloaden?;Télécharger la nouvelle version du test de couleur?;Scarica la nuova versione del test del colore?;Descargar nueva versión de la prueba de color?;Download ny version af farvetesten?
;;(Update: Strg+Klick);(Update: Ctrl click);(Update: Ctrl-klik);(Mise à jour: Ctrl clic);(Aggiorna: Ctrl clic);(Actualización: Ctrl clic);(Opdatering: Ctrl-klik)
;;Verwende SPI Kommunikation: ;Use SPI communication:;Gebruik SPI-communicatie:;Utilisez la communication SPI:;Usa comunicazione SPI:;Utilice la comunicación SPI:;Brug SPI-kommunikation:
;;"Verwendet die SPI Kommunikation zwischen LED Arduino und DCC/Selectrix Arduino. Wenn dieser Modus aktiviert ist, dann kann wird die RS232 Verbindung nicht mehr benötigt. Der TX Pin des DCC/SX Arduinos kann entfernt werden. Dadurch können Probleme beim Flashen des Arduinos beseitigt werden. 
Die SPI Kommunikation benötigt aber zusätzliche Pins des Arduinos welche nicht zum einlesen von Schaltern zur Verfügung stehen.";Use the SPI communication between LED Arduino and DCC / Selectrix Arduino. If this mode is activated, the RS232 connection is no longer required. The TX pin of the DCC / SX Arduino can be removed. This can eliminate problems when flashing the Arduino. However, the SPI communication requires additional pins of the Arduino which are not available for reading switches.;Gebruik de SPI-communicatie tussen LED Arduino en DCC / Selectrix Arduino. Als deze modus is geactiveerd, is de RS232-verbinding niet langer nodig. De TX-pin van de DCC / SX Arduino kan worden verwijderd. Dit kan problemen bij het flitsen van de Arduino elimineren. De SPI-communicatie vereist echter extra pinnen van de Arduino die niet beschikbaar zijn voor het lezen van schakelaars.;Utilisez la communication SPI entre LED Arduino et DCC / Selectrix Arduino. Si ce mode est activé, la connexion RS232 n'est plus nécessaire. La broche TX du DCC / SX Arduino peut être retirée. Cela peut éliminer les problèmes lors du flashage de l'Arduino. Cependant, la communication SPI nécessite des broches supplémentaires de l'Arduino qui ne sont pas disponibles pour la lecture des commutateurs.;Utilizzare la comunicazione SPI tra LED Arduino e DCC / Selectrix Arduino. Se questa modalità è attivata, la connessione RS232 non è più necessaria. Il pin TX di DCC / SX Arduino può essere rimosso. Questo può eliminare i problemi durante il flashing di Arduino. Tuttavia, la comunicazione SPI richiede pin aggiuntivi di Arduino che non sono disponibili per la lettura degli switch.;Utilice la comunicación SPI entre LED Arduino y DCC / Selectrix Arduino. Si este modo está activado, la conexión RS232 ya no es necesaria. El pin TX del DCC / SX Arduino se puede quitar. Esto puede eliminar problemas al flashear el Arduino. Sin embargo, la comunicación SPI requiere pines adicionales del Arduino que no están disponibles para leer los interruptores.;Brug SPI-kommunikationen mellem LED Arduino og DCC / Selectrix Arduino. Hvis denne tilstand er aktiveret, er RS232-forbindelsen ikke længere påkrævet. TX-stiften på DCC / SX Arduino kan fjernes. Dette kan eliminere problemer, når Arduino blinker. SPI-kommunikationen kræver dog yderligere ben af ??Arduino, som ikke er tilgængelige til aflæsning af afbrydere.
;;Fehler beim Umbenennen des Verzeichnisses:;Error renaming the directory:;Fout bij het hernoemen van de directory:;Erreur lors du changement de nom du répertoire:;Errore durante la ridenominazione della directory:;Error al renombrar el directorio:;Fejl ved omdøbning af biblioteket:
;;Verzeichnis kann nicht umbenannt werden;Directory cannot be renamed;Directory kan niet worden hernoemd;Le répertoire ne peut pas être renommé;La directory non può essere rinominata;No se puede cambiar el nombre del directorio;Directory kan ikke omdøbes
;;Fehler: Das Verzeichnis '#1#' wurde nicht erzeugt beim entzippen von:;Error: The directory '#1#' was not created when unzipping:;Fout: de map '#1#' is niet gemaakt bij het uitpakken:;Erreur: le répertoire '#1#' n'a pas été créé lors de la décompression:;Errore: la directory '#1#' non è stata creata durante la decompressione:;Error: el directorio '#1#' no se creó al descomprimir:;Fejl: Kataloget '#1#' blev ikke oprettet ved udpakning:
;;Fehler beim entzippen;Unzip error;Unzip-fout;Erreur de décompression;Errore di decompressione;Descomprimir error;Unzip-fejl
;;"Soll die MobaLedLib aktualisiert werden?|
Wenn die vorhandene Bibliothek die gleiche oder eine neuere Version besitzt, dann wird die existierend Bibliothek beibehalten.";"Should the MobaLedLib be updated? 
 If the existing library has the same or a newer version, the existing library is retained.";"Moet de MobaLedLib worden bijgewerkt? 
 Als de bestaande bibliotheek dezelfde of een nieuwere versie heeft, blijft de bestaande bibliotheek behouden.";"Le MobaLedLib doit-il être mis à jour? 
 Si la bibliothèque existante a la même version ou une version plus récente, la bibliothèque existante est conservée.";"MobaLedLib dovrebbe essere aggiornato? 
 Se la libreria esistente ha la stessa o una versione più recente, la libreria esistente viene mantenuta.";"¿Debería actualizarse MobaLedLib? 
 Si la biblioteca existente tiene la misma versión o una más nueva, la biblioteca existente se conserva.";"Bør MobaLedLib opdateres? 
 Hvis det eksisterende bibliotek har den samme eller en nyere version, bevares det eksisterende bibliotek."
;;" ; A Abbruch; O Ok";" ; A Abbort; O Ok";" ; A Anuleren; O Ok";" ; A Abbort; O Ok";" ; A Abbort; O Ok";" ; A Aborto; O Ok";" ; A Abbort; O Ok"
;;Lade Seite ';Loading page ';Pagina wordt geladen ';Page de chargement ';Caricamento pagina ';Cargando página ';Indlæser side '
;;Fehler: Die PGF Datei enthält keinen gültigen Header:;Error: The PGF file does not contain a valid header:;Fout: het PGF-bestand bevat geen geldige header:;Erreur: le fichier PGF ne contient pas d'en-tête valide:;Errore: il file PGF non contiene un'intestazione valida:;Error: el archivo PGF no contiene un encabezado válido:;Fejl: PGF-filen indeholder ikke en gyldig overskrift:
;;Ungültige PGF Datei;Invalid PGF file;Ongeldig PGF-bestand;Fichier PGF non valide;File PGF non valido;Archivo PGF no válido;Ugyldig PGF-fil
;;Bootloader;Bootloader;Bootloader;Bootloader;Boot loader;Cargador de arranque;Bootloader
;;Schnellen Bootloader;Fast bootloader;Snelle bootloader;Chargeur de démarrage rapide;Bootloader veloce;Cargador de arranque rápido;Hurtig bootloader
;;Installiert den schnellen Bootloader auf dem linken Arduino.;Installs the fast bootloader on the left Arduino.;Installeert de snelle bootloader op de linker Arduino.;Installe le chargeur de démarrage rapide sur l'Arduino gauche.;Installa il bootloader veloce su Arduino sinistro.;Instala el cargador de arranque rápido en el Arduino izquierdo.;Installerer den hurtige bootloader til venstre Arduino.
;;Noch einen Arduino aktualisieren?;Update another Arduino?;Nog een Arduino bijwerken?;Mettre à jour un autre Arduino?;Aggiornare un altro Arduino?;¿Actualizar otro Arduino?;Opdater en anden Arduino?
;;"Installation des Bootloaders abgeschlossen|
|
Soll der Bootloader auf einen weiteren Arduino geladen werden?|
|
Wenn ja, dann muss dieser jetzt in den linken Steckplatz gesteckt werden.|
Mit 'Nein' wird wieder das DCC/Selectrix Programm auf den rechten Nano installiert.|
|
Achtung der rechte Arduino darf nicht entfernt werden!";"Installation of the bootloader completed | 
 | 
 Should the bootloader be loaded onto another Arduino? | 
 | 
 If so, then this must now be plugged into the left slot. | 
 With 'No' the DCC / Selectrix program is installed again on the right Nano. | 
 | 
 Warning, the right Arduino must not be removed!";"Installatie van de bootloader voltooid | 
 | 
 Moet de bootloader op een andere Arduino worden geladen? | 
 | 
 Zo ja, dan moet deze nu in de linkersleuf worden gestoken. | 
 Met 'No' wordt het DCC / Selectrix programma weer op de rechter Nano geïnstalleerd. | 
 | 
 Waarschuwing, de juiste Arduino mag niet worden verwijderd!";"Installation du bootloader terminée | 
 | 
 Le bootloader doit-il être chargé sur un autre Arduino? | 
 | 
 Si tel est le cas, celui-ci doit maintenant être branché dans la fente gauche. | 
 Avec «Non», le programme DCC / Selectrix est à nouveau installé sur le Nano droit. | 
 | Attention 
, le bon Arduino ne doit pas être supprimé!";"Installazione del bootloader completata | 
 | 
 Il bootloader dovrebbe essere caricato su un altro Arduino? | 
 | 
 In tal caso, questo deve ora essere inserito nello slot di sinistra. | 
 Con ""No"" il programma DCC / Selectrix viene nuovamente installato sul Nano destro. | 
 | Attenzione 
, l'Arduino giusto non deve essere rimosso!";"Instalación del cargador de arranque completada | 
 | 
 ¿Debería cargarse el gestor de arranque en otro Arduino? | 
 | 
 Si es así, ahora debe enchufarlo en la ranura izquierda. | 
 Con 'No' el programa DCC / Selectrix se instala de nuevo en el Nano derecho. | 
 | Advertencia de 
, ¡no se debe quitar el Arduino correcto!";"Installation af bootloader afsluttet | 
 | 
 Skal bootloaderen læsses på en anden Arduino? | 
 | 
 Hvis ja, skal dette nu tilsluttes den venstre åbning. | 
 Med 'Nej' installeres DCC / Selectrix-programmet igen på højre Nano. | 
 | 
 Advarsel, den rigtige Arduino må ikke fjernes!"
;;"Achtung: Die Jumper müssen unbedingt wieder entfernt werden sonst geht nichts mehr ;-(|
Damit sie nicht verloren gehen können sie so eingesteckt werden, dass sie nur auf einem Pin stecken.|
|
Das USB Kabel sollte wieder auf den linken Arduino gesteckt werden.";"Attention: The jumpers have to be removed, otherwise nothing works ;-( | 
 So that they are not lost, they can be plugged in so that they are only on one pin. | 
 | 
 The USB cable should be back on the left Arduino be plugged.";"Let op: de jumpers moeten worden verwijderd, anders werkt niets ;-( | 
 Zodat ze niet verloren gaan, kunnen ze worden aangesloten als ze maar op één pin zitten. | 
 | 
 De USB-kabel moet weer op de linker Arduino worden aangesloten.";"Attention: les cavaliers doivent être retirés, sinon rien ne fonctionne ;-( | 
 Pour qu'ils ne soient pas perdus, ils peuvent être branchés afin qu'ils ne soient que sur une seule broche. | 
 | 
 Le câble USB doit être de retour sur le gauche Arduino être branché.";"Attenzione: i ponticelli devono essere rimossi, altrimenti non funziona nulla ;-( | 
 Per non perderli, possono essere collegati in modo che siano solo su un pin. | 
 | 
 Il cavo USB dovrebbe essere di nuovo sul lasciato Arduino essere collegato.";"Atención: Hay que quitar los jumpers, de lo contrario no funciona nada ;-( | 
 Para que no se pierdan, se pueden enchufar para que solo queden en un pin. | 
 | 
 El cable USB debe volver a estar en el Arduino izquierdo conectado.";"OBS: Jumperne skal fjernes, ellers fungerer intet ;-( | 
 Så de ikke går tabt, kan de tilsluttes, så de kun er på en stift. | 
 | 
 USB-kablet skal være tilbage på venstre Arduino være tilsluttet."
;;Bootloader Programmierung abgeschlossen;Bootloader programming completed;Bootloader-programmering voltooid;Programmation du chargeur de démarrage terminée;Programmazione del bootloader completata;Se completó la programación del cargador de arranque;Bootloader-programmering afsluttet
;;Achtung: Die Mainboard LED 4 kann nicht benutzt werden wenn der PIN A3 an anderer Stelle benutzt wird (CAN, SwitchB oder SwitchC).;Attention: The mainboard LED 4 cannot be used if the PIN A3 is used elsewhere (CAN, SwitchB or SwitchC).;Let op: De moederbord LED 4 kan niet worden gebruikt als de PIN A3 ergens anders wordt gebruikt (CAN, SwitchB of SwitchC).;Attention: La LED 4 de la carte mère ne peut pas être utilisée si le PIN A3 est utilisé ailleurs (CAN, SwitchB ou SwitchC).;Attenzione: il LED 4 della scheda madre non può essere utilizzato se il PIN A3 è utilizzato altrove (CAN, SwitchB o SwitchC).;Atención: El LED 4 de la placa base no se puede utilizar si el PIN A3 se utiliza en otro lugar (CAN, SwitchB o SwitchC).;OBS: Hovedkortets LED 4 kan ikke bruges, hvis PIN A3 bruges andre steder (CAN, SwitchB eller SwitchC).
;;Pin A3 ist bereits benutzt;Pin A3 is already used;Pin A3 wordt al gebruikt;La broche A3 est déjà utilisée;Il pin A3 è già utilizzato;El pin A3 ya está en uso;Pin A3 er allerede brugt
;;Gibt den verwendeten LED-Kanal an. Es können 4 verschiedene LED-Stränge angesteuert werden. 0 = Normal, 1 = Knopf Druck Aktion, 2, 3 Frei verfügbar.;Indicates the LED channel used. 4 different LED strings can be controlled. 0 = normal, 1 = push button action, 2, 3 freely available.;Geeft het gebruikte LED-kanaal aan. Er kunnen 4 verschillende LED-strings worden aangestuurd. 0 = normaal, 1 = drukknopactie, 2, 3 vrij beschikbaar.;Indique le canal LED utilisé. 4 chaînes de LED différentes peuvent être contrôlées. 0 = normal, 1 = action du bouton-poussoir, 2, 3 librement disponibles.;Indica il canale LED utilizzato. È possibile controllare 4 diverse stringhe di LED. 0 = normale, 1 = azione del pulsante, 2, 3 liberamente disponibili.;Indica el canal de LED utilizado. Se pueden controlar 4 cadenas de LED diferentes. 0 = normal, 1 = acción de pulsador, 2, 3 disponibles gratuitamente.;Angiver den anvendte LED-kanal. 4 forskellige LED-strenge kan styres. 0 = normal, 1 = trykknaphandling, 2, 3 frit tilgængelig.
;;Installieren des schnellen Bootloaders;Install the fast boot loader;Installeer de snelle opstartlader;Installez le chargeur de démarrage rapide;Installa il caricatore di avvio veloce;Instale el cargador de arranque rápido;Installer hurtigstartlæsseren
;;Schnellen Bootloader installieren;Install fast boot loader;Installeer een snelle opstartlader;Installer le chargeur de démarrage rapide;Installa il caricatore di avvio veloce;Instalar cargador de arranque rápido;Installer hurtig boot loader
;;"Mit dem verbesserten Bootloader wird das Programm, bei einer Änderung der Konfiguration, deutlich schneller zum Arduino geschickt. |
|
Dazu müssen die Jumper unter dem linken Arduino so wie im Bild gezeigt gesetzt werden (Der untere Jumper verbindet den linken mit dem mittleren Pin.)|
|
Danach wird der Arduino wieder eingesteckt und der rechte Arduino mit dem USB Anschluss des PC's verbunden.|
|
Die Jumper sind erst ab der Hardware Version 1.5 der Hauptplatine vorhanden.";"With the improved bootloader, the program is sent to the Arduino much faster when the configuration is changed. | 
 | 
 To do this, the jumpers under the left Arduino must be set as shown in the picture (The lower jumper connects the left to the middle pin.) 
 | 
 Then the Arduino is plugged in again and the right Arduino is connected to the USB port of the PC. | 
 | 
 The jumpers are only available from hardware version 1.5 on the motherboard.";"Met de verbeterde bootloader wordt het programma veel sneller naar de Arduino gestuurd wanneer de configuratie wordt gewijzigd. | 
 | 
 Om dit te doen, moeten de jumpers onder de linker Arduino worden ingesteld zoals weergegeven in de afbeelding (de onderste jumper verbindt de linker met de middelste pin.) 
 | 
 Vervolgens wordt de Arduino weer aangesloten en wordt de rechter Arduino aangesloten op de USB-poort van de pc. | 
 | 
 De jumpers zijn alleen beschikbaar vanaf hardwareversie 1.5 op het moederbord.";"Avec le chargeur de démarrage amélioré, le programme est envoyé à l'Arduino beaucoup plus rapidement lorsque la configuration est modifiée. | 
 | 
 Pour ce faire, les cavaliers sous l'Arduino gauche doivent être réglés comme indiqué sur l'image (Le cavalier inférieur relie la gauche à la broche du milieu.) 
 | 
 Ensuite, l'Arduino est à nouveau branché et l'Arduino droit est connecté au port USB du PC. | 
 | 
 Les cavaliers ne sont disponibles qu'à partir de la version matérielle 1.5 sur la carte mère.";"Con il bootloader migliorato, il programma viene inviato ad Arduino molto più velocemente quando la configurazione viene modificata. | 
 | 
 Per fare ciò, i ponticelli sotto l'Arduino sinistro devono essere impostati come mostrato in figura (Il ponticello inferiore collega il pin sinistro al pin centrale.) 
 | 
 Quindi l'Arduino viene ricollegato e l'Arduino destro viene collegato alla porta USB del PC. | 
 | 
 I jumper sono disponibili solo dalla versione hardware 1.5 sulla scheda madre.";"Con el gestor de arranque mejorado, el programa se envía al Arduino mucho más rápido cuando se cambia la configuración. | 
 | 
 Para hacer esto, los puentes debajo del Arduino izquierdo deben configurarse como se muestra en la imagen (El puente inferior conecta el pin izquierdo al medio). 
 | 
 Luego, el Arduino se vuelve a enchufar y el Arduino derecho se conecta al puerto USB de la PC. | 
 | 
 Los puentes solo están disponibles a partir de la versión de hardware 1.5 en la placa base.";"Med den forbedrede bootloader sendes programmet til Arduino meget hurtigere, når konfigurationen ændres. | 
 | 
 For at gøre dette skal hopperne under venstre Arduino indstilles som vist på billedet (Den nederste jumper forbinder venstre til den midterste pin.) 
 | 
 Derefter tilsluttes Arduino igen, og den højre Arduino tilsluttes USB-porten på pc'en. | 
 | 
 Jumperne er kun tilgængelige fra hardwareversion 1.5 på bundkortet."
;;Installieren;Install;Installeren;Installer;Installare;Instalar en pc;Installere
;;Ungültige Arduino Pin Nummer;Invalid Arduino pin number;Ongeldig Arduino nummer;Numéro de broche Arduino non valide;Numero pin Arduino non valido;Número de pin de Arduino no válido;Ugyldigt Arduino-pin-nummer
;;"Fehler: Der Parameter '#1#' muss eine der folgenden Vergleichsoperatoren enthalten:|
  #2#";"Error: The parameter '#1#' must contain one of the following comparison operators: | 
 #2#";"Fout: de parameter '#1#' moet een van de volgende vergelijkingsoperatoren bevatten: | 
 #2#";"Erreur: le paramètre «#1#» doit contenir l'un des opérateurs de comparaison suivants: | 
 #2#";"Errore: il parametro ""#1#"" deve contenere uno dei seguenti operatori di confronto: | 
 #2#";"Error: el parámetro '#1#' debe contener uno de los siguientes operadores de comparación: | 
 #2#";"Fejl: Parameteren '#1#' skal indeholde en af ??følgende sammenligningsoperatorer: | 
 #2#"
;;Ungültiger Vergleichsoperator;Invalid comparison operator;Ongeldige vergelijkingsoperator;Opérateur de comparaison non valide;Operatore di confronto non valido;Operador de comparación no válido;Ugyldig sammenligningsoperatør
;;Fehler: Falscher Typ '#1#' in der 'LED_to_Var' Funktion;Error: Wrong type '#1#' in the 'LED_to_Var' function;Fout: verkeerde type '#1#' in de 'LED_to_Var' functie;Erreur: type incorrect '#1#' dans la fonction 'LED_to_Var';"Errore: tipo errato ""#1#"" nella funzione ""LED_to_Var""";Error: tipo incorrecto '#1#' en la función 'LED_to_Var';Fejl: Forkert type '#1#' i funktionen 'LED_to_Var'
;;Fehler: Falscher Typ in 'LED_to_Var' Funktion;Error: Wrong type in 'LED_to_Var' function;Fout: verkeerd type in functie 'LED_to_Var';Erreur: type incorrect dans la fonction 'LED_to_Var';"Errore: tipo errato nella funzione ""LED_to_Var""";Error: tipo incorrecto en la función 'LED_to_Var';Fejl: Forkert type i 'LED_to_Var' funktion
;;Die Adresse muss im Bereich 1 bis 9999 liegen;The address must be in the range 1 to 9999;Het adres moet tussen 1 en 9999 liggen;L'adresse doit être comprise entre 1 et 9999;L'indirizzo deve essere compreso tra 1 e 9999;La dirección debe estar en el rango de 1 a 9999;Adressen skal være i området 1 til 9999
;;Mit 'Nein' wird die Meldung ignoriert und versucht den Arduino trotzdem zu programmieren.;With 'No' the message is ignored and it's tried to program the Arduino anyway.;Met 'Nee' wordt het bericht genegeerd en wordt toch geprobeerd de Arduino te programmeren.;Avec «Non», le message est ignoré et il a quand même essayé de programmer l'Arduino.;"Con ""No"" il messaggio viene ignorato e si tenta comunque di programmare Arduino.";Con 'No' el mensaje se ignora y se ha intentado programar el Arduino de todos modos.;Med 'Nej' ignoreres meddelelsen, og det er alligevel forsøgt at programmere Arduino.
;;"Fehler: Der Parameter '#1#' muss eine der folgenden Werte enthalten:|
  #2#";"Error: The parameter '#1#' must contain one of the following values: | 
 #2#";"Fout: de parameter '#1#' moet een van de volgende waarden bevatten: | 
 #2#";"Erreur: le paramètre «#1#» doit contenir l'une des valeurs suivantes: | 
 #2#";"Errore: il parametro ""#1#"" deve contenere uno dei seguenti valori: | 
 #2#";"Error: el parámetro '#1#' debe contener uno de los siguientes valores: | 
 #2#";"Fejl: Parameteren '#1#' skal indeholde en af ??følgende værdier: | 
 #2#"
;;Ungültige LED Bezeichnung;Invalid LED designation;Ongeldige LED-aanduiding;Désignation LED invalide;Designazione LED non valida;Designación de LED no válida;Ugyldig LED-betegnelse
;;Datei nicht gefunden;file not found;bestand niet gevonden;Fichier non trouvé;file non trovato;archivo no encontrado;fil ikke fundet
;;Nano (Full memory);Nano (full memory);Nano (volledig geheugen);Nano (mémoire pleine);Nano (memoria piena);Nano (memoria completa);Nano (fuld hukommelse)
;;Überprüfe den Arduino Typ;Check out the Arduino type;Bekijk het Arduino-type;Découvrez le type Arduino;Dai un'occhiata alla tipologia Arduino;Mira el tipo Arduino;Tjek Arduino-typen
;;Die schnelle Bootloader kann nur von einer DCC oder Selectrix Seite aus installiert werden.;The fast bootloader can only be installed from a DCC or Selectrix side.;De snelle bootloader kan alleen worden geïnstalleerd vanaf een DCC- of Selectrix-zijde.;Le chargeur de démarrage rapide ne peut être installé que depuis un côté DCC ou Selectrix.;Il bootloader veloce può essere installato solo da un lato DCC o Selectrix.;El cargador de arranque rápido solo se puede instalar desde un lado DCC o Selectrix.;Den hurtige bootloader kan kun installeres fra en DCC- eller Selectrix-side.
;;Falsche Seite zum aktualisieren des Bootloaders ausgewählt;Wrong page selected to update the bootloader;Verkeerde pagina geselecteerd om de bootloader bij te werken;Mauvaise page sélectionnée pour mettre à jour le chargeur de démarrage;Pagina selezionata errata per aggiornare il bootloader;Se seleccionó una página incorrecta para actualizar el cargador de arranque;Forkert side valgt for at opdatere bootloader
;;#1# Pin für SwitchB oder SwitchC;#1# pin for SwitchB or SwitchC;#1# pin voor SwitchB of SwitchC;Broche #1# pour SwitchB ou SwitchC;#1# pin per SwitchB o SwitchC;#1# pin para SwitchB o SwitchC;#1# pin til SwitchB eller SwitchC
;;Wenn der ESP32 verwendet wird, dann wird kein rechter Arduino benötigt;If the ESP32 is used then no right Arduino is needed;Als de ESP32 wordt gebruikt, is er geen juiste Arduino nodig;Si l'ESP32 est utilisé, aucun Arduino correct n'est nécessaire;Se viene utilizzato ESP32, non è necessario alcun Arduino corretto;Si se usa el ESP32, entonces no se necesita Arduino correcto;Hvis ESP32 bruges, er der ikke brug for nogen rigtig Arduino
;;Rechter Arduino nicht benötigt;Right Arduino not required;Juiste Arduino niet vereist;Arduino droit non requis;Arduino destro non richiesto;No se requiere Arduino derecho;Højre Arduino kræves ikke
;;Nummer des LED Stripes (0-3) an den die LEDs angeschlossen sind. (0 = Normal, 1 = PushButtons, ..);Number of the LED strip (0-3) to which the LEDs are connected. (0 = normal, 1 = PushButtons, ..);Nummer van de ledstrip (0-3) waarop de leds zijn aangesloten. (0 = normaal, 1 = drukknoppen, ..);Numéro de la bande de LED (0-3) à laquelle les LED sont connectées. (0 = normal, 1 = boutons-poussoirs, ..);Numero della striscia LED (0-3) a cui sono collegati i LED. (0 = normale, 1 = pulsanti, ..);Número de la tira de LED (0-3) a la que están conectados los LED. (0 = normal, 1 = pulsadores, ..);Nummer på LED-stripen (0-3), som LED'erne er tilsluttet. (0 = normal, 1 = trykknapper, ..)
;;Fehler: Das Makro '#1#' kann nur mit einer oder zwei LEDs benutzt werden.;Error: The macro '#1#' can only be used with one or two LEDs.;Fout: De macro '#1#' kan alleen worden gebruikt met een of twee LED's.;Erreur: La macro '#1#' ne peut être utilisée qu'avec une ou deux LED.;"Errore: la macro ""#1#"" può essere utilizzata solo con uno o due LED.";Error: la macro '#1#' solo se puede utilizar con uno o dos LED.;Fejl: Makroen '#1#' kan kun bruges med en eller to lysdioder.
;;Fehler: Makro kann nicht mit 3 LEDs benutzt werden;Error: Macro cannot be used with 3 LEDs;Fout: macro kan niet worden gebruikt met 3 LED's;Erreur: la macro ne peut pas être utilisée avec 3 LED;Errore: la macro non può essere utilizzata con 3 LED;Error: la macro no se puede utilizar con 3 LED;Fejl: Makro kan ikke bruges med 3 lysdioder
